Computer Name,Serial Number,Compliance - mSCP Version,Compliance - Failed mSCP Results Count,Full Name,Last Inventory Update,Operating System,Compliance - Failed mSCP Result List,Asset Tag
iMac-NorthCentral-022,YFO6JPWP2TFB,org.disa_stig.audit.plist,64,Jane Smith,2025-03-10 04:15:17,macOS 14.2.1,"audit_flags_administrator_actions
audit_flags_unsuccessful_auths
audit_configure_capacity_notify
audit_flags_logins",73837191
MacStudio-Alaska-023,B2XNOPDUH14I,org.disa_stig.audit.plist,0,William Baker,2025-03-10 00:55:01,macOS 15.3.1,,77247600
MacBookAir-NorthCentral-024,U3G1OSFIPPIK,org.disa_stig.audit.plist,0,Lucas Allen,2025-03-10 13:15:32,macOS 15.3.1,,31927512
MacMini-NorthCentral-025,B7S21RYQ74JZ,org.disa_stig.audit.plist,0,Abigail Hill,2025-03-10 04:47:09,macOS 14.5.0,,08253260
MacMini-Mid-Atlantic-026,8TE8H26SUQNG,org.disa_stig.audit.plist,28,Charlotte King,2025-03-10 15:09:36,macOS 14.7.4,"audit_configure_capacity_notify
audit_set_macOS_security_policy
audit_flags_successful_auths
audit_files_group_configure
audit_flags_logins
audit_files_owner_configure
audit_flags_unsuccessful_auths
audit_flags_administrator_actions",56134799
MacStudio-Mid-Atlantic-027,3NV67MZ3PAXY,org.disa_stig.audit.plist,29,Bob Brown,2025-03-10 16:00:26,macOS 15.3.1,audit_flags_logins,52865957
MacBookPro-Midwest-028,HRDMM7VX58DI,org.disa_stig.audit.plist,70,William Baker,2025-03-10 21:25:09,macOS 14.7.4,"audit_configure_capacity_notify
audit_flags_administrator_actions
audit_flags_logins
audit_flags_unsuccessful_auths
audit_flags_authentication
audit_files_group_configure",17029798
MacMini-Alaska-029,QM8J040ENJ69,org.disa_stig.audit.plist,42,Benjamin Young,2025-03-10 18:38:24,macOS 14.5.0,"audit_configure_capacity_notify
audit_flags_authentication",25042150
MacBookAir-Southwest-030,F0JY9CMF5ZH9,org.disa_stig.audit.plist,0,Noah Thompson,2025-03-10 22:11:52,macOS 15.3.1,,85693367
MacMini-Midwest-031,5ZP4H0VJOHUV,org.disa_stig.audit.plist,25,Emma Anderson,2025-03-10 05:47:45,macOS 14.7.4,"audit_files_group_configure
audit_flags_authentication
audit_configure_capacity_notify",85091153
iMac-Midwest-032,HA1UAIX1LY3K,org.disa_stig.audit.plist,24,Amelia Wright,2025-03-10 02:54:47,macOS 14.2.1,"audit_files_group_configure
audit_flags_successful_auths
audit_flags_authentication
audit_flags_logins",66465430
iMac-Southwest-033,CWMBW1UKLWOG,org.disa_stig.audit.plist,8,Alice Johnson,2025-03-10 21:17:15,macOS 14.7.4,"audit_files_group_configure
audit_set_macOS_security_policy
audit_flags_successful_auths
audit_flags_authentication",82564594
MacBookAir-Mid-Atlantic-034,W3YHV08HPYQB,org.disa_stig.audit.plist,53,Alice Johnson,2025-03-10 07:18:17,macOS 15.3.1,"audit_flags_successful_auths
audit_files_owner_configure
audit_files_group_configure
audit_configure_capacity_notify
audit_flags_logins
audit_flags_administrator_actions
audit_flags_unsuccessful_auths
audit_set_macOS_security_policy
audit_flags_authentication",13554752
MacMini-Southwest-035,4ASY7NL2EUSX,org.disa_stig.audit.plist,39,David Clark,2025-03-10 07:13:42,macOS 15.3.1,"audit_flags_unsuccessful_auths
audit_configure_capacity_notify
audit_files_owner_configure
audit_set_macOS_security_policy
audit_flags_authentication
audit_flags_successful_auths
audit_flags_logins",65882142
iMac-NorthCentral-036,DHW9N4VNMG8L,org.disa_stig.audit.plist,30,Charlie Davis,2025-03-10 22:01:44,macOS 15.3.1,"audit_flags_administrator_actions
audit_files_group_configure
audit_flags_unsuccessful_auths
audit_flags_logins
audit_files_owner_configure",65461329
MacBookAir-Southeast-037,SR6WOF4VN34M,org.disa_stig.audit.plist,40,Ava Martinez,2025-03-10 12:42:18,macOS 14.5.0,"audit_flags_logins
audit_flags_unsuccessful_auths
audit_flags_authentication",12604809
MacMini-Southwest-038,0RYFW15FGH4Y,org.disa_stig.audit.plist,31,Grace Lee,2025-03-10 18:13:34,macOS 14.2.1,"audit_set_macOS_security_policy
audit_files_group_configure
audit_flags_successful_auths",61933066
MacBookAir-MountainWest-039,7WFD5K17JZFR,org.disa_stig.audit.plist,21,Jane Smith,2025-03-10 03:55:50,macOS 15.3.1,"audit_flags_successful_auths
audit_flags_unsuccessful_auths
audit_flags_logins
audit_set_macOS_security_policy
audit_files_owner_configure
audit_configure_capacity_notify
audit_flags_authentication
audit_files_group_configure",58757569
MacStudio-South-040,3GSDQ8WUGO05,org.disa_stig.audit.plist,62,Charlotte King,2025-03-10 02:15:05,macOS 14.5.0,"audit_flags_logins
audit_set_macOS_security_policy
audit_configure_capacity_notify
audit_files_owner_configure
audit_flags_unsuccessful_auths
audit_flags_administrator_actions",79478239
MacMini-MountainWest-041,RRIB5LNCG16L,org.disa_stig.audit.plist,37,Bob Brown,2025-03-10 16:21:16,macOS 15.3.1,"audit_flags_authentication
audit_flags_logins
audit_set_macOS_security_policy
audit_flags_administrator_actions
audit_flags_successful_auths
audit_files_group_configure
audit_flags_unsuccessful_auths
audit_files_owner_configure",23378256
MacBookAir-NorthCentral-042,EPQR3E224DQB,org.disa_stig.audit.plist,19,David Clark,2025-03-10 06:28:07,macOS 15.3.1,"audit_set_macOS_security_policy
audit_files_group_configure
audit_flags_unsuccessful_auths
audit_flags_authentication
audit_configure_capacity_notify
audit_flags_administrator_actions
audit_flags_logins
audit_files_owner_configure",32834054
MacBookPro-NewEngland-043,ICI1XQUDA3IE,org.disa_stig.audit.plist,11,Charlotte King,2025-03-10 16:54:37,macOS 14.2.1,"audit_files_owner_configure
audit_flags_logins
audit_flags_authentication
audit_flags_unsuccessful_auths
audit_files_group_configure
audit_configure_capacity_notify
audit_set_macOS_security_policy
audit_flags_administrator_actions",60927626
MacStudio-Midwest-044,SDSTMUCEH4VP,org.disa_stig.audit.plist,56,Henry Martin,2025-03-10 23:22:16,macOS 14.5.0,"audit_configure_capacity_notify
audit_flags_successful_auths",36299754
MacStudio-South-045,ZLAHM07MW17S,org.disa_stig.audit.plist,65,Grace Lee,2025-03-10 19:57:40,macOS 14.5.0,"audit_flags_successful_auths
audit_files_group_configure
audit_configure_capacity_notify",51333125
MacMini-Southeast-046,BAZYPM0TE9KR,org.disa_stig.audit.plist,62,Elijah Nelson,2025-03-10 14:19:21,macOS 14.2.1,"audit_flags_successful_auths
audit_files_owner_configure
audit_files_group_configure
audit_configure_capacity_notify
audit_flags_administrator_actions",26754814
iMac-NewEngland-047,TKJ9YYB4QE0N,org.disa_stig.audit.plist,8,Emma Anderson,2025-03-10 22:01:59,macOS 14.7.4,"audit_flags_authentication
audit_flags_successful_auths",84341423
MacMini-Midwest-048,48JJ2G8RSEQW,org.disa_stig.audit.plist,37,Michael Scott,2025-03-10 01:24:19,macOS 14.2.1,"audit_configure_capacity_notify
audit_flags_unsuccessful_auths
audit_flags_logins
audit_set_macOS_security_policy
audit_flags_authentication
audit_files_group_configure
audit_files_owner_configure
audit_flags_administrator_actions
audit_flags_successful_auths",83592109
MacBookAir-Midwest-049,7DPQ7QX6F4ZC,org.disa_stig.audit.plist,39,Benjamin Young,2025-03-10 21:08:54,macOS 14.7.4,"audit_files_owner_configure
audit_configure_capacity_notify
audit_flags_authentication
audit_flags_logins
audit_flags_successful_auths
audit_flags_administrator_actions
audit_files_group_configure
audit_flags_unsuccessful_auths",70776875
MacBookPro-NewEngland-050,ADNZ2JD3VGZL,org.disa_stig.audit.plist,14,Sophia Lewis,2025-03-10 21:08:35,macOS 14.5.0,"audit_set_macOS_security_policy
audit_configure_capacity_notify
audit_flags_successful_auths
audit_flags_logins",40206782
MacStudio-NorthCentral-051,NH0VLOX88UV2,org.disa_stig.audit.plist,50,Lucas Allen,2025-03-10 09:36:08,macOS 15.3.1,"audit_flags_successful_auths
audit_files_owner_configure
audit_flags_administrator_actions
audit_flags_authentication
audit_flags_logins
audit_flags_unsuccessful_auths
audit_configure_capacity_notify
audit_files_group_configure",67515264
MacMini-NorthCentral-052,PTLHBIWMIMBM,org.disa_stig.audit.plist,47,Michael Scott,2025-03-10 18:51:01,macOS 15.3.1,"audit_flags_logins
audit_files_owner_configure
audit_flags_authentication
audit_flags_successful_auths
audit_files_group_configure
audit_set_macOS_security_policy
audit_configure_capacity_notify
audit_flags_unsuccessful_auths",06228428
iMac-Southwest-053,TNHNA0P3BGH7,org.disa_stig.audit.plist,22,Olivia Harris,2025-03-10 02:36:08,macOS 14.2.1,"audit_flags_unsuccessful_auths
audit_files_group_configure
audit_flags_administrator_actions
audit_set_macOS_security_policy
audit_flags_logins
audit_flags_successful_auths
audit_configure_capacity_notify
audit_flags_authentication
audit_files_owner_configure",48246374
MacMini-South-054,F6Y3FV86080V,org.disa_stig.audit.plist,49,Harper Adams,2025-03-10 17:14:00,macOS 15.3.1,"audit_files_group_configure
audit_flags_logins",74875782
iMac-MountainWest-055,S42CZ4O5KRSN,org.disa_stig.audit.plist,32,Benjamin Young,2025-03-10 12:48:25,macOS 15.3.1,"audit_flags_unsuccessful_auths
audit_set_macOS_security_policy
audit_flags_logins",29505117
MacBookAir-South-056,7CTILEJW1YOU,org.disa_stig.audit.plist,15,Emily Wilson,2025-03-10 09:20:32,macOS 15.3.1,"audit_flags_successful_auths
audit_flags_unsuccessful_auths
audit_flags_logins",28749296
iMac-Southeast-057,WQO0F9ASR6PT,org.disa_stig.audit.plist,9,Jane Smith,2025-03-10 11:16:50,macOS 14.7.4,"audit_flags_authentication
audit_flags_successful_auths
audit_flags_logins
audit_flags_unsuccessful_auths",74739053
MacStudio-NorthCentral-058,0AIJIDHESSCN,org.disa_stig.audit.plist,67,James Hall,2025-03-10 18:57:31,macOS 14.7.4,"audit_set_macOS_security_policy
audit_flags_successful_auths
audit_flags_administrator_actions",72924350
MacMini-Southwest-059,T0P0SRAN5PKJ,org.disa_stig.audit.plist,23,William Baker,2025-03-10 11:41:19,macOS 14.7.4,"audit_configure_capacity_notify
audit_files_owner_configure
audit_set_macOS_security_policy
audit_flags_authentication",32125851
iMac-Mid-Atlantic-060,ZX9TQSDOALSY,org.disa_stig.audit.plist,9,Alexander Moore,2025-03-10 06:06:54,macOS 15.3.1,"audit_flags_successful_auths
audit_set_macOS_security_policy
audit_flags_authentication
audit_flags_unsuccessful_auths
audit_files_owner_configure
audit_configure_capacity_notify
audit_files_group_configure",21481485
MacStudio-Southwest-061,IGKSI5QKVIF0,org.disa_stig.audit.plist,5,Bob Brown,2025-03-10 03:29:50,macOS 14.2.1,"audit_files_owner_configure
audit_flags_unsuccessful_auths",70696306
MacMini-MountainWest-062,IAM6SZ7S2HFV,org.disa_stig.audit.plist,44,Harper Adams,2025-03-10 12:57:56,macOS 14.7.4,"audit_flags_unsuccessful_auths
audit_flags_authentication
audit_files_owner_configure",91552489
MacBookPro-PacificNorthWest-063,A0RSQKWBARGT,org.disa_stig.audit.plist,13,James Hall,2025-03-10 15:29:51,macOS 14.7.4,"audit_flags_authentication
audit_files_owner_configure",73106082
iMac-Mid-Atlantic-064,8DZWE1AJI3ID,org.disa_stig.audit.plist,5,Mason Carter,2025-03-10 00:52:07,macOS 14.5.0,"audit_set_macOS_security_policy
audit_files_group_configure
audit_flags_authentication
audit_flags_logins
audit_flags_unsuccessful_auths
audit_flags_administrator_actions
audit_flags_successful_auths",76724749
iMac-Mid-Atlantic-065,3T9ACY7388US,org.disa_stig.audit.plist,20,Michael Scott,2025-03-10 03:59:08,macOS 14.5.0,"audit_files_group_configure
audit_flags_authentication",87756206
MacMini-Alaska-066,WWGPATBO1LB5,org.disa_stig.audit.plist,41,Jane Smith,2025-03-10 08:58:34,macOS 14.7.4,"audit_flags_unsuccessful_auths
audit_configure_capacity_notify
audit_flags_logins
audit_files_group_configure",34748623
iMac-PacificNorthWest-067,3Z1NEC7CALC7,org.disa_stig.audit.plist,17,Emily Wilson,2025-03-10 12:50:00,macOS 14.7.4,"audit_files_group_configure
audit_set_macOS_security_policy",46316429
MacMini-NorthCentral-068,UHU7JMLP4JHR,org.disa_stig.audit.plist,18,Frank Thomas,2025-03-10 14:14:56,macOS 14.5.0,"audit_flags_successful_auths
audit_configure_capacity_notify
audit_flags_administrator_actions",32299041
iMac-Southeast-069,E57I8393Y0XX,org.disa_stig.audit.plist,58,Grace Lee,2025-03-10 02:04:14,macOS 14.2.1,"audit_set_macOS_security_policy
audit_flags_administrator_actions
audit_flags_logins
audit_flags_successful_auths
audit_configure_capacity_notify
audit_flags_unsuccessful_auths
audit_files_group_configure
audit_flags_authentication
audit_files_owner_configure",92480941
iMac-PacificNorthWest-070,EXXUWY3JKGAG,org.disa_stig.audit.plist,40,Lucas Allen,2025-03-10 17:22:06,macOS 15.3.1,"audit_set_macOS_security_policy
audit_files_group_configure
audit_flags_authentication
audit_flags_successful_auths
audit_configure_capacity_notify
audit_flags_unsuccessful_auths
audit_files_owner_configure",72878219
MacMini-Alaska-071,KK90UHMZJLRO,org.disa_stig.audit.plist,66,Charlie Davis,2025-03-10 11:11:14,macOS 14.2.1,"audit_files_group_configure
audit_flags_authentication
audit_flags_administrator_actions
audit_flags_logins
audit_configure_capacity_notify
audit_files_owner_configure",18170127
MacStudio-NorthCentral-072,ALFABB7Y51TH,org.disa_stig.audit.plist,21,Charlie Davis,2025-03-10 14:59:41,macOS 14.2.1,"audit_flags_successful_auths
audit_flags_authentication
audit_flags_administrator_actions",25004297
iMac-Midwest-073,K4UJTBLW88I9,org.disa_stig.audit.plist,42,Benjamin Young,2025-03-10 11:37:47,macOS 14.2.1,"audit_files_group_configure
audit_files_owner_configure
audit_flags_administrator_actions
audit_flags_logins
audit_flags_successful_auths",90287057
MacMini-Midwest-074,DZ4Q9390XMOD,org.disa_stig.audit.plist,57,Amelia Wright,2025-03-10 11:50:42,macOS 15.3.1,"audit_configure_capacity_notify
audit_flags_administrator_actions",62031293
MacMini-NorthCentral-075,ON38BSDCHLTB,org.disa_stig.audit.plist,33,Henry Martin,2025-03-10 01:32:08,macOS 14.7.4,"audit_flags_administrator_actions
audit_flags_authentication
audit_flags_unsuccessful_auths
audit_files_owner_configure",31934834
iMac-Southwest-076,7HT0LL0SKBY6,org.disa_stig.audit.plist,18,Henry Martin,2025-03-10 17:16:11,macOS 14.2.1,"audit_flags_administrator_actions
audit_flags_logins
audit_flags_unsuccessful_auths
audit_flags_successful_auths
audit_flags_authentication
audit_configure_capacity_notify
audit_files_group_configure
audit_files_owner_configure",53147131
MacBookAir-MountainWest-077,9ZMZRXFQPPQZ,org.disa_stig.audit.plist,43,Lucas Allen,2025-03-10 19:24:35,macOS 14.2.1,"audit_files_owner_configure
audit_flags_successful_auths",46236066
MacBookPro-Midwest-078,W6DBJ14CMY42,org.disa_stig.audit.plist,31,Alexander Moore,2025-03-10 20:10:37,macOS 15.3.1,audit_flags_successful_auths,03488094
iMac-Midwest-079,C2FDK77ZLLC6,org.disa_stig.audit.plist,32,Amelia Wright,2025-03-10 00:05:04,macOS 14.7.4,"audit_flags_unsuccessful_auths
audit_flags_administrator_actions
audit_flags_authentication
audit_files_group_configure",38024903
MacBookPro-South-080,UVKIATE85XMJ,org.disa_stig.audit.plist,29,Henry Martin,2025-03-10 13:11:24,macOS 14.7.4,"audit_flags_unsuccessful_auths
audit_flags_successful_auths
audit_set_macOS_security_policy",63959738
MacMini-Southwest-081,T2X3LKPAXB60,org.disa_stig.audit.plist,48,Michael Scott,2025-03-10 02:52:57,macOS 14.5.0,"audit_flags_logins
audit_configure_capacity_notify
audit_flags_unsuccessful_auths",62744166
MacBookAir-Southeast-082,0JQMZWV65T2E,org.disa_stig.audit.plist,10,Benjamin Young,2025-03-10 20:01:52,macOS 14.5.0,"audit_flags_logins
audit_configure_capacity_notify
audit_files_owner_configure
audit_flags_unsuccessful_auths",11459565
MacBookPro-Mid-Atlantic-083,HAHJ3WVLYA2J,org.disa_stig.audit.plist,44,Charlie Davis,2025-03-10 10:00:10,macOS 15.3.1,"audit_flags_logins
audit_set_macOS_security_policy
audit_files_owner_configure
audit_flags_authentication
audit_flags_successful_auths
audit_flags_unsuccessful_auths",98982798
MacBookPro-South-084,IBJ3JNZFD1BC,org.disa_stig.audit.plist,66,Alice Johnson,2025-03-10 00:11:15,macOS 14.7.4,"audit_flags_unsuccessful_auths
audit_set_macOS_security_policy
audit_flags_authentication
audit_flags_successful_auths
audit_files_owner_configure
audit_flags_administrator_actions
audit_flags_logins
audit_configure_capacity_notify
audit_files_group_configure",77910333
MacBookAir-Alaska-085,RF6RNX1ZSC1U,org.disa_stig.audit.plist,67,Michael Scott,2025-03-10 10:51:48,macOS 14.5.0,"audit_files_owner_configure
audit_files_group_configure
audit_flags_successful_auths
audit_set_macOS_security_policy
audit_flags_unsuccessful_auths
audit_configure_capacity_notify
audit_flags_administrator_actions
audit_flags_logins",08017344
MacBookPro-NorthCentral-086,TJCF4Q0VIURK,org.disa_stig.audit.plist,68,Bob Brown,2025-03-10 10:20:00,macOS 14.2.1,"audit_files_owner_configure
audit_flags_administrator_actions
audit_flags_successful_auths
audit_flags_authentication
audit_flags_unsuccessful_auths
audit_files_group_configure",59392801
MacBookAir-Midwest-087,3H3V83BFKNQ0,org.disa_stig.audit.plist,62,Alexander Moore,2025-03-10 15:39:10,macOS 14.2.1,"audit_flags_successful_auths
audit_flags_logins
audit_files_group_configure
audit_set_macOS_security_policy
audit_flags_unsuccessful_auths
audit_flags_administrator_actions",09054291
MacBookAir-MountainWest-088,2X3TLE9ZSNYY,org.disa_stig.audit.plist,57,Ethan Walker,2025-03-10 17:19:14,macOS 14.2.1,"audit_flags_administrator_actions
audit_set_macOS_security_policy",44781803
MacStudio-Southeast-089,EW9T2FC939D3,org.disa_stig.audit.plist,39,Isabella White,2025-03-10 05:03:03,macOS 14.7.4,audit_files_group_configure,17088806
MacStudio-Alaska-090,SO0VEE25LWAA,org.disa_stig.audit.plist,7,Olivia Harris,2025-03-10 20:09:03,macOS 14.5.0,audit_flags_unsuccessful_auths,80219713
iMac-Southeast-091,LDMTFBZK2519,org.disa_stig.audit.plist,18,Sophia Lewis,2025-03-10 19:41:13,macOS 14.7.4,"audit_configure_capacity_notify
audit_set_macOS_security_policy
audit_flags_successful_auths
audit_flags_authentication
audit_files_owner_configure",57276155
MacBookAir-MountainWest-092,8ZWY4NZPW7Z1,org.disa_stig.audit.plist,41,Bob Brown,2025-03-10 16:25:12,macOS 14.7.4,"audit_set_macOS_security_policy
audit_flags_successful_auths",10747936
iMac-MountainWest-093,F5506SNJACK3,org.disa_stig.audit.plist,33,David Clark,2025-03-10 14:11:09,macOS 14.7.4,"audit_files_owner_configure
audit_flags_unsuccessful_auths
audit_files_group_configure
audit_flags_logins
audit_configure_capacity_notify
audit_flags_successful_auths
audit_set_macOS_security_policy
audit_flags_authentication",31177241
MacMini-PacificNorthWest-094,BUU32MMO0ON3,org.disa_stig.audit.plist,14,Benjamin Young,2025-03-10 21:45:55,macOS 14.2.1,"audit_files_owner_configure
audit_set_macOS_security_policy
audit_flags_successful_auths
audit_flags_logins
audit_flags_unsuccessful_auths
audit_flags_authentication",86969579
MacStudio-South-095,A7JXBHLBW0RB,org.disa_stig.audit.plist,0,Olivia Harris,2025-03-10 05:51:11,macOS 14.2.1,,64935212
MacBookAir-NewEngland-096,OJ3ZOF3ZD3ZX,org.disa_stig.audit.plist,30,Grace Lee,2025-03-10 06:06:09,macOS 14.7.4,"audit_configure_capacity_notify
audit_files_owner_configure
audit_flags_unsuccessful_auths
audit_flags_administrator_actions",10461587
MacBookAir-PacificNorthWest-097,E0MI9442PGVA,org.disa_stig.audit.plist,5,Ava Martinez,2025-03-10 17:40:36,macOS 15.3.1,"audit_set_macOS_security_policy
audit_flags_unsuccessful_auths
audit_configure_capacity_notify
audit_flags_administrator_actions
audit_flags_authentication
audit_flags_logins",04149050
MacMini-South-098,3NNHZR8OO8EY,org.disa_stig.audit.plist,65,Grace Lee,2025-03-10 23:59:05,macOS 14.5.0,"audit_flags_logins
audit_files_group_configure
audit_configure_capacity_notify
audit_flags_unsuccessful_auths
audit_set_macOS_security_policy
audit_flags_successful_auths
audit_files_owner_configure
audit_flags_authentication",77877581
MacStudio-Southwest-099,VRHUPOOMADWZ,org.disa_stig.audit.plist,0,Charlotte King,2025-03-10 20:26:24,macOS 14.5.0,,06959474
MacStudio-Alaska-100,BBOGZPMWQEPP,org.disa_stig.audit.plist,52,Jane Smith,2025-03-10 09:33:17,macOS 14.7.4,audit_flags_administrator_actions,98974931
MacBookAir-PacificNorthWest-101,RCMDJ5EFLONZ,org.disa_stig.audit.plist,47,Mason Carter,2025-03-10 07:35:31,macOS 15.3.1,audit_flags_authentication,32830118
MacMini-Alaska-102,PPBUUG6NWBDK,org.disa_stig.audit.plist,39,Frank Thomas,2025-03-10 09:22:37,macOS 15.3.1,"audit_flags_authentication
audit_flags_logins",89197264
iMac-South-103,W17LRE05YZ5Y,org.disa_stig.audit.plist,39,David Clark,2025-03-10 10:42:14,macOS 15.3.1,"audit_files_group_configure
audit_set_macOS_security_policy
audit_flags_authentication
audit_flags_administrator_actions
audit_flags_unsuccessful_auths
audit_flags_logins
audit_flags_successful_auths
audit_configure_capacity_notify
audit_files_owner_configure",57664560
MacBookPro-NorthCentral-104,36O8KU0JA2YD,org.disa_stig.audit.plist,34,Elijah Nelson,2025-03-10 23:51:33,macOS 14.5.0,audit_flags_successful_auths,00236002
MacMini-Alaska-105,NU6Q7ARPD9XA,org.disa_stig.audit.plist,65,Lucas Allen,2025-03-10 06:10:32,macOS 14.5.0,"audit_flags_unsuccessful_auths
audit_flags_administrator_actions
audit_flags_logins
audit_flags_successful_auths
audit_files_owner_configure",19093495
iMac-PacificNorthWest-106,MLPMGBVTPWZZ,org.disa_stig.audit.plist,0,William Baker,2025-03-10 02:22:30,macOS 14.5.0,,25049932
iMac-Southwest-107,FX7M0T35UT0L,org.disa_stig.audit.plist,45,Charlotte King,2025-03-10 12:30:20,macOS 14.2.1,"audit_set_macOS_security_policy
audit_flags_authentication
audit_flags_logins
audit_flags_administrator_actions
audit_configure_capacity_notify
audit_flags_successful_auths
audit_flags_unsuccessful_auths",80981074
MacBookAir-Alaska-108,B7XTR1JZ3EHD,org.disa_stig.audit.plist,56,Mason Carter,2025-03-10 11:51:48,macOS 14.5.0,"audit_flags_unsuccessful_auths
audit_flags_administrator_actions
audit_set_macOS_security_policy",96285096
